Geneid	hAP_20200818N	hCK_20200818N	henAP_20201010N	henCK_20201010N	henOX_20201010N	henOXAP_20201010N	hOX_20200818N	hOXAP_20200818N	LAP_20200818N	LCK_20200818N	LerAP_20201010N	LerCK_20201010N	LerOX_20201010N	LerOXAP_20201010N	LOX_20200818N	LOXAP_20200818N
hc-siRNA	28055941.71	12812900.11	23583838.54	10441352.68	23310360.21	20649000.30	27222194.27	32124125.41	10904333.78	6472575.67	10735870.81	6527880.85	15128661.30	10753199.07	15019130.90	14263458.01
phasi/tasiRNA	182343.83	122737.66	159288.67	123792.16	214556.00	141713.33	197806.17	200976.00	193885.00	130195.16	224862.00	145317.67	425441.17	249664.17	288163.00	264078.17
miRNA_primary_transcript	1029111.18	2147926.55	957522.85	1809349.37	991989.26	802904.34	1056942.23	1085099.04	1405700.06	910340.94	1412941.75	878217.54	1920220.67	1350499.43	1807174.84	1638594.54
lncRNA	764632.63	509834.98	517938.79	337516.81	543609.38	475484.30	782620.22	947326.55	277678.66	271563.07	225758.82	269857.90	325878.07	231302.57	409717.99	388726.65
tRNA	176737.00	560254.16	79425.83	479180.16	1025315.17	36363.67	700849.00	64056.83	21513.83	392742.99	22041.83	443741.83	220784.33	8300	61073.33	11589.00
otherRNA	105517.68	84018.22	110213.95	96754.54	124807.69	97425.85	111231.65	118958.96	35692.23	31586.02	45194.93	34960.79	67916.59	46125.35	50359.60	46752.04
snoRNA	9978.83	43811.41	4829.08	27477.50	7629.08	1795.83	6435.08	2998.25	2848.83	40983.91	3794.67	26751.16	2150.33	900.50	1610.25	969.33
snRNA	17577.67	20085.67	7394.50	8547.83	6626.67	5575.00	9726.67	12141.33	2554.50	7534.50	1620.50	6301.83	1461.00	1026.50	2092	2109.67
rRNA	3091066	6640694	1831571.50	4700529.50	1193545.50	544427.50	1244652.50	795250.50	370965	5725708	337869	4408553	263091	121783	228549.50	146341
protein_coding	1214914.91	1173749.78	984437.89	914357.95	1011864.08	828217.25	1123725.91	1229145.24	291880.13	821755.64	321108.80	710239.47	456597.12	311895.30	382366.13	348286.63
transposable_element	636868.08	265722.96	589657.56	254719.12	612776.58	498175.92	645381.58	712499.58	255233.64	161909.81	282115.63	187781.98	413610.29	283804.64	370978.13	334523.96
NoFeatures	2882898	4429027	2080784	3191511	1703046	1221511	1792902	1721877	761356	3371054	774178	2894615	996149	660307	869567	784945
